date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:34	113469/113469	---M--	200	added ('OK')	image/jpeg	etag:CMWLqriGuOsCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1526534567511-SRAKUK3BXIP35F8VL72X/ke17ZwdGBToddI8pDm48kKmw982fUOZVIQXHUCR1F55Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpw5XnxLBmEFHJGf_0qFdDpmIncOw4kq9OpCHNTYqzGO-E1YJr-Thht9Tdog4YtCwrE/IMG_3958.JPG	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1526534567511-SRAKUK3BXIP35F8VL72X/ke17ZwdGBToddI8pDm48kKmw982fUOZVIQXHUCR1F55Zw-z/IMG_3958.jpg	(from https://kbooradio.squarespace.com/photo-archive)
13:39:34	107482/107482	---M--	200	added ('OK')	image/jpeg	etag:CNb37ryGuOsCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1520976789865-89QRK3YRXL0BBU6ALEUO/ke17ZwdGBToddI8pDm48kKmw982fUOZVIQXHUCR1F55Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpw5XnxLBmEFHJGf_0qFdDpmIncOw4kq9OpCHNTYqzGO-E1YJr-Thht9Tdog4YtCwrE/20170310_161223.jpg	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1520976789865-89QRK3YRXL0BBU6ALEUO/ke17ZwdGBToddI8pDm48kKmw982fUOZVIQXHUCR1F55Zw-z/20170310_161223.jpg	(from https://kbooradio.squarespace.com/photo-archive)
13:39:34	184026/184026	---M--	200	added ('OK')	image/jpeg	etag:COna/djZuOsCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1515311061840-8NJJP3L6XB37UKJKVI3R/ke17ZwdGBToddI8pDm48kB92dViXzs5J_mtyhx0flQ9Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIg3roBln4z-wlQ-Nd5JwP9kj0boJQ5HmwEia9a78CQPYKMshLAGzx4R3EDFOm1kBS/KBOO_Photographs_Slides_Folder4_PosterAd_2.jpg	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1515311061840-8NJJP3L6XB37UKJKVI3R/ke17ZwdGBToddI8pDm48kB92dViXzs5J_mtyhx0flQ9Zw-z/KBOO_Photographs_Slides_Folder4_PosterAd_2.jpg	(from https://kbooradio.squarespace.com/photo-archive)
13:39:34	613133/613133	---M--	200	added ('OK')	image/png	etag:CPDP0sHZuOsCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1521069602633-7UX3MIX94QU8UBBE31J5/ke17ZwdGBToddI8pDm48kN7lLKvAx-2m2pwyY9u5XlZZw-zPPgdn4jUwVcJE1ZvWEtT5uBSRWt4vQZAgTJucoTqqXjS3CfNDSuuf31e0tVH6k1CPpq91V2SQHwzC4PAX565nf5stguwyFS5jttRrPh926scO3xePJoa6uVJa9B4/KBOO+sign+construction.png	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1521069602633-7UX3MIX94QU8UBBE31J5/ke17ZwdGBToddI8pDm48kN7lLKvAx-2m2pwyY9u5XlZZw-z/KBOO+sign+construction.png	(from https://kbooradio.squarespace.com/photo-archive)
13:39:35	235624/235624	---M--	200	added ('OK')	image/jpeg	etag:CLn5/7Ljt+sCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522710490415-ZPJR8YEWK6VZIB52NIM1/ke17ZwdGBToddI8pDm48kOcatRG9rMOaCrdEmgzjMUF7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0gmXcXvEVFTLbYX9CdVcGe60CRxVAky9Kq_ht_emzIWa5MMLGpKovBlcOKe2qFhJTQ/KBOO_bw_photos_album1_019.jpg	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522710490415-ZPJR8YEWK6VZIB52NIM1/ke17ZwdGBToddI8pDm48kOcatRG9rMOaCrdEmgzjMUF7gQa/KBOO_bw_photos_album1_019.jpg	(from https://kbooradio.squarespace.com/photo-archive)
13:39:35	1018461/1018461	---M--	200	added ('OK')	image/png	etag:CPeWgODZuOsCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1521079635684-A3LTEQ9EDTTNPUN6Q4CX/ke17ZwdGBToddI8pDm48kBD891KqJE3RJ65uoQ-8Tu1Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PI07A9lBLt4nsiz0RSFRY-Ah6FPbm1kNuBHRweiz251zQ/KBOO_Olding_Mitchell.png	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1521079635684-A3LTEQ9EDTTNPUN6Q4CX/ke17ZwdGBToddI8pDm48kBD891KqJE3RJ65uoQ-8Tu1Zw-z/KBOO_Olding_Mitchell.png	(from https://kbooradio.squarespace.com/photo-archive)
13:39:35	105277/105277	---M--	200	added ('OK')	image/jpeg	etag:CP/GqsLZuOsCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522709814854-SEVW4FK7536SIGHF7INO/ke17ZwdGBToddI8pDm48kCX-V5vw-8h9IBXN10-_8XN7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0p4Wyba38KfG317vYluk45_zZdtnDCZTLKcP2mivxmYi50xvY5saIGKMgOza9mH4XA/DSC06042.jpg	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522709814854-SEVW4FK7536SIGHF7INO/ke17ZwdGBToddI8pDm48kCX-V5vw-8h9IBXN10-_8XN7gQa/DSC06042.jpg	(from https://kbooradio.squarespace.com/photo-archive)
13:39:35	89831/89831	---M--	200	added ('OK')	image/jpeg	etag:CMPqpryGuOsCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522709899839-PIKQN7WE0LB1GA8KRUHL/ke17ZwdGBToddI8pDm48kCX-V5vw-8h9IBXN10-_8XN7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0p4Wyba38KfG317vYluk45_zZdtnDCZTLKcP2mivxmYi50xvY5saIGKMgOza9mH4XA/DSC06157.jpg	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522709899839-PIKQN7WE0LB1GA8KRUHL/ke17ZwdGBToddI8pDm48kCX-V5vw-8h9IBXN10-_8XN7gQa/DSC06157.jpg	(from https://kbooradio.squarespace.com/photo-archive)
13:39:36	143040/143040	---M--	200	added ('OK')	image/jpeg	etag:CJSexdfZuOsCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522710484103-3WLLB1UBXODDXYT3MRDT/ke17ZwdGBToddI8pDm48kLmC10aoKC-VfMVPeayyE1h7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0p5uBJOnOmCWBN4JfYsIDyRtP99unqFuNCDxTcsAwZp8YKQyVm4YxbudyYGILf0Biw/KBOO_bw_photos_album1_003.jpg	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522710484103-3WLLB1UBXODDXYT3MRDT/ke17ZwdGBToddI8pDm48kLmC10aoKC-VfMVPeayyE1h7gQa/KBOO_bw_photos_album1_003.jpg	(from https://kbooradio.squarespace.com/photo-archive)
13:39:36	210808/210808	---M--	200	added ('OK')	image/jpeg	etag:CPX2vL+GuOsCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522710508178-BGXOESSZTPBUG7UB32MG/ke17ZwdGBToddI8pDm48kOcKQOVP5FDSs_EL08_6W_J7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0ooWhOa5cxQSJsU3rXf8luVcmz7NX71clcckZLuVjefRAr7QZb5hkcd4iYmGYODbDA/KBOO_bw_photos_album1_011.jpg	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522710508178-BGXOESSZTPBUG7UB32MG/ke17ZwdGBToddI8pDm48kOcKQOVP5FDSs_EL08_6W_J7gQa/KBOO_bw_photos_album1_011.jpg	(from https://kbooradio.squarespace.com/photo-archive)
13:39:36	170200/170200	---M--	200	added ('OK')	image/jpeg	etag:CNqD6NXZuOsCEAE=	https://images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522710514871-F9Y4I4HXXVQZIRO4AUFA/ke17ZwdGBToddI8pDm48kBhDTlkZervO99-xhr5S6hh7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QHyNOqBUUEtDDsRWrJLTmzUsryC7riGV7bTeYhg5SelV8ShUDAny0fSsH-PfvCIDZSLNibbqx2AuVVGwrzBta/KBOO_photographs_color_YouthCollective_02.jpg	/home/kboo/websites/50yearsofkboo/images.squarespace-cdn.com/content/v1/5960376d46c3c4413a513e7c/1522710514871-F9Y4I4HXXVQZIRO4AUFA/ke17ZwdGBToddI8pDm48kBhDTlkZervO99-xhr5S6hh7gQa/KBOO_photographs_color_YouthCollective_02.jpg	(from https://kbooradio.squarespace.com/photo-archive)
